id,label
1,deer
2,frog
3,automobile
4,ship
5,bird
6,cat
7,airplane
8,dog
9,automobile
10,cat
11,bird
12,dog
13,frog
14,cat
15,dog
16,airplane
17,deer
18,deer
19,ship
20,deer
21,bird
22,ship
23,frog
24,automobile
25,frog
26,truck
27,automobile
28,frog
29,bird
30,cat
31,cat
32,horse
33,cat
34,bird
35,deer
36,deer
37,cat
38,cat
39,ship
40,ship
41,frog
42,bird
43,truck
44,deer
45,horse
46,automobile
47,deer
48,horse
49,airplane
50,truck
51,frog
52,horse
53,cat
54,frog
55,ship
56,ship
57,frog
58,cat
59,airplane
60,frog
61,frog
62,dog
63,deer
64,frog
65,ship
66,cat
67,ship
68,ship
69,bird
70,frog
71,truck
72,bird
73,ship
74,deer
75,frog
76,horse
77,bird
78,deer
79,horse
80,cat
81,bird
82,deer
83,ship
84,horse
85,frog
86,cat
87,dog
88,frog
89,frog
90,truck
91,frog
92,airplane
93,frog
94,horse
95,automobile
96,frog
97,deer
98,bird
99,truck
100,bird
101,deer
102,deer
103,cat
104,cat
105,ship
106,bird
107,automobile
108,frog
109,frog
110,frog
111,deer
112,bird
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,ship
120,frog
121,bird
122,truck
123,horse
124,frog
125,ship
126,cat
127,airplane
128,dog
129,airplane
130,airplane
131,airplane
132,truck
133,frog
134,truck
135,truck
136,cat
137,cat
138,frog
139,dog
140,truck
141,frog
142,dog
143,frog
144,deer
145,horse
146,automobile
147,frog
148,ship
149,dog
150,frog
151,truck
152,dog
153,cat
154,ship
155,truck
156,horse
157,truck
158,airplane
159,truck
160,frog
161,deer
162,frog
163,frog
164,cat
165,frog
166,automobile
167,frog
168,frog
169,truck
170,frog
171,frog
172,frog
173,frog
174,frog
175,frog
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,frog
185,frog
186,dog
187,ship
188,cat
189,cat
190,airplane
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,bird
201,ship
202,bird
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,deer
209,cat
210,horse
211,automobile
212,horse
213,truck
214,frog
215,cat
216,bird
217,dog
218,bird
219,horse
220,automobile
221,frog
222,truck
223,frog
224,deer
225,airplane
226,ship
227,horse
228,dog
229,horse
230,horse
231,ship
232,deer
233,deer
234,cat
235,bird
236,frog
237,deer
238,deer
239,truck
240,airplane
241,frog
242,dog
243,cat
244,cat
245,truck
246,horse
247,cat
248,truck
249,horse
250,ship
251,deer
252,airplane
253,frog
254,airplane
255,ship
256,frog
257,frog
258,ship
259,bird
260,airplane
261,frog
262,automobile
263,horse
264,frog
265,frog
266,bird
267,dog
268,bird
269,cat
270,automobile
271,dog
272,truck
273,dog
274,cat
275,horse
276,frog
277,frog
278,bird
279,dog
280,dog
281,horse
282,bird
283,cat
284,cat
285,bird
286,automobile
287,airplane
288,truck
289,dog
290,frog
291,automobile
292,cat
293,airplane
294,cat
295,frog
296,bird
297,frog
298,bird
299,cat
300,truck
301,frog
302,frog
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,cat
309,frog
310,horse
311,automobile
312,frog
313,deer
314,truck
315,horse
316,cat
317,cat
318,cat
319,frog
320,frog
321,horse
322,horse
323,ship
