id,label
1,deer
2,airplane
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,cat
9,automobile
10,cat
11,bird
12,horse
13,bird
14,cat
15,dog
16,airplane
17,deer
18,bird
19,ship
20,deer
21,airplane
22,ship
23,frog
24,automobile
25,frog
26,truck
27,automobile
28,cat
29,bird
30,cat
31,cat
32,horse
33,cat
34,bird
35,deer
36,cat
37,cat
38,cat
39,ship
40,cat
41,bird
42,bird
43,cat
44,deer
45,deer
46,automobile
47,deer
48,bird
49,airplane
50,cat
51,frog
52,horse
53,cat
54,frog
55,ship
56,ship
57,frog
58,deer
59,airplane
60,truck
61,frog
62,cat
63,deer
64,frog
65,ship
66,truck
67,ship
68,ship
69,bird
70,frog
71,truck
72,bird
73,truck
74,deer
75,frog
76,horse
77,airplane
78,frog
79,deer
80,cat
81,cat
82,deer
83,ship
84,horse
85,deer
86,cat
87,dog
88,bird
89,frog
90,truck
91,automobile
92,airplane
93,frog
94,horse
95,automobile
96,frog
97,deer
98,bird
99,truck
100,bird
101,deer
102,airplane
103,frog
104,cat
105,ship
106,bird
107,automobile
108,frog
109,frog
110,frog
111,deer
112,bird
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,airplane
120,cat
121,deer
122,truck
123,horse
124,frog
125,ship
126,cat
127,airplane
128,cat
129,airplane
130,ship
131,ship
132,truck
133,frog
134,automobile
135,truck
136,cat
137,cat
138,frog
139,bird
140,automobile
141,frog
142,dog
143,cat
144,deer
145,automobile
146,automobile
147,truck
148,ship
149,cat
150,frog
151,airplane
152,dog
153,cat
154,ship
155,truck
156,horse
157,airplane
158,ship
159,truck
160,deer
161,deer
162,frog
163,frog
164,cat
165,frog
166,automobile
167,frog
168,frog
169,truck
170,frog
171,frog
172,frog
173,frog
174,frog
175,bird
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,deer
185,frog
186,dog
187,ship
188,cat
189,cat
190,airplane
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,bird
201,ship
202,deer
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,deer
209,bird
210,horse
211,automobile
212,horse
213,deer
214,frog
215,dog
216,truck
217,dog
218,airplane
219,horse
220,truck
221,frog
222,truck
223,deer
224,deer
225,automobile
226,ship
227,horse
228,dog
229,horse
230,deer
231,ship
232,deer
233,deer
234,deer
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,frog
242,dog
243,deer
244,cat
245,truck
246,horse
247,cat
248,truck
249,deer
250,ship
251,deer
252,airplane
253,frog
254,airplane
255,dog
256,deer
257,frog
258,ship
259,deer
260,airplane
261,cat
262,automobile
263,horse
264,deer
265,frog
266,deer
267,cat
268,bird
269,bird
270,truck
271,frog
272,airplane
273,dog
274,cat
275,horse
276,deer
277,frog
278,bird
279,frog
280,dog
281,dog
282,bird
283,cat
284,truck
285,deer
286,cat
287,ship
288,truck
289,bird
290,deer
291,automobile
292,cat
293,airplane
294,cat
295,frog
296,frog
297,frog
298,bird
299,ship
300,truck
301,truck
302,frog
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,cat
309,deer
310,horse
311,automobile
312,frog
313,deer
314,truck
315,deer
316,cat
317,cat
318,cat
319,frog
320,frog
321,cat
322,horse
323,ship
324,dog
325,horse
326,ship
327,deer
328,cat
329,horse
330,truck
331,bird
332,airplane
333,bird
334,bird
335,bird
336,deer
337,dog
338,frog
339,airplane
340,ship
341,ship
342,frog
343,deer
344,bird
345,ship
346,automobile
347,ship
348,horse
349,horse
350,truck
351,bird
352,truck
353,deer
354,automobile
355,ship
356,deer
357,airplane
358,deer
359,airplane
360,frog
361,horse
362,airplane
363,airplane
364,airplane
365,frog
366,dog
367,bird
368,deer
369,airplane
370,deer
371,frog
372,dog
373,dog
374,airplane
375,truck
376,airplane
377,cat
378,frog
379,automobile
380,cat
381,truck
382,airplane
383,airplane
384,ship
385,deer
386,cat
387,ship
388,horse
389,frog
390,cat
391,frog
392,frog
393,bird
394,frog
395,frog
396,horse
397,frog
398,deer
399,dog
400,cat
401,automobile
402,truck
403,deer
404,ship
405,deer
406,airplane
407,automobile
408,truck
409,bird
410,bird
411,horse
412,deer
413,ship
414,airplane
415,automobile
416,frog
417,deer
418,frog
419,bird
420,dog
